workload,agents,repeats,total_invocations,throughput_inv_per_s,speedup,parallel_efficiency_pct,epoch_begin_p50_ms,epoch_begin_p95_ms,run_p50_ms,run_p95_ms,commit_p50_ms,commit_p95_ms,authz_to_finalized_p50_ms,authz_to_finalized_p95_ms,rollback_p50_ms,rollback_p95_ms,rollback_affected_mean,finalization_wait_p50_ms,finalization_wait_p95_ms,pending_commits,insertion_latency_us_client,insertion_latency_us_daemon,edges_per_invocation,modelled_graph_overhead_us_per_inv,graph_edges_peak,graph_epochs_peak,orchestrator_cpu_pct,shadowfs_cpu_pct,shadowproc_cpu_pct,daemons_cpu_pct,orchestrator_rss_peak_mb,shadowfs_rss_peak_mb,shadowproc_rss_peak_mb,structure_ok,structure_error,branch_preservation_ok,branch_error,error_count
independent,1,3,60,34.679449997449254,1.0,100.0,6.6219235,6.897834,5.2414295,5.9693908,0.0,0.0,4.2035,4.7964,8.075401,8.2200402,1.0,,,0,-73.332,,0.0,,0,1,10.177,6.286,3.891,20.354,27.441,11.355,5.578,True,,,n/a: one agent has no unrelated branch,0
independent,2,3,120,52.869819956082296,1.5245287903923213,76.22643951961606,7.964917,10.6950129,5.849564,8.507108,0.0,0.0,5.3295,6.7713,10.742005,14.1042035,1.0,,,0,161.819,,0.0,,0,2,19.198,9.983,6.399,35.58,27.738,12.098,5.586,True,,True,,0
independent,4,3,240,64.59337765908874,1.862583681801174,46.56459204502935,12.9510885,28.1071009,7.378857,10.3192828,0.0,0.0,6.853,8.85165,13.393771,18.9721836,1.0,,,0,473.586,,0.0,,0,4,32.32,15.132,8.781,56.233,28.262,13.207,5.742,True,,True,,0
independent,8,3,480,64.82201964728192,1.8691766925960394,23.364708657450493,41.933653,70.62317829999999,13.64014,19.1366157,0.0,0.0,7.4715,12.2416,27.586634,44.6390969,1.0,,,0,-75.987,55.7742,0.010416666666666666,0.5809812499999999,0,8,46.594,19.141,10.172,75.907,29.344,16.855,6.07,True,,True,,0
independent,16,3,960,66.04546060751296,1.9044552497911802,11.902845311194877,96.921653,144.476128,19.6720725,32.5544311,0.0,0.0,7.6695,15.84255,63.3354735,97.576831,1.0,,,0,151.693,19.626,0.0010416666666666667,0.02044375,0,16,54.237,21.537,11.527,87.301,31.352,22.344,6.238,True,,True,,0
independent,32,3,1920,63.627881358303696,1.8347430931858395,5.733572166205748,211.0074285,279.98272039999995,21.4512085,61.3878434,0.0,0.0,7.5195,12.2933,136.3871885,212.0408663,1.0,,,0,20.114,9.393,0.0010416666666666667,0.009784375000000001,0,32,58.42,22.791,12.155,93.366,35.184,31.469,6.898,True,,True,,0
partially_shared,1,3,60,33.14533256505344,1.0,100.0,7.3314565,8.0070235,5.3146775,5.984698,0.0,0.0,4.266,4.9674,8.63639,8.6872756,1.0,,,0,127.458,,0.0,,0,1,10.603,7.658,4.418,22.679,33.418,32.41,6.898,True,,,n/a: one agent has no unrelated branch,0
partially_shared,2,3,120,51.58465746412966,1.5563173898733969,77.81586949366984,8.417093,9.9760555,5.904725,7.834801400000001,0.0,0.0,5.2665,6.6979,11.3570245,12.4955871,1.1,,,0,147.852,11.794515151515151,0.275,3.2434916666666673,1,2,20.073,11.434,6.606,38.113,33.453,32.461,6.898,True,,True,,0
partially_shared,4,3,240,62.31904501661385,1.8801755841279302,47.004389603198256,14.5827465,29.6921305,8.4386765,11.968104,0.0,0.0,7.051,8.8718,18.082415,23.8141521,1.15,,,0,-52.8,11.188795454545454,0.18333333333333332,2.0512791666666663,2,4,34.288,16.05,8.572,58.91,33.59,33.078,6.898,True,,True,,0
partially_shared,8,3,470,64.05156837887276,1.9324460918640807,24.15557614830101,42.325223,71.66025359999999,13.280717,19.8102798,0.0,0.0,7.645,12.97265,31.4019745,50.6367725,1.125,0.188919,0.188919,0,-6.146,13.146230769230769,0.13829787234042554,1.8180957446808512,4,8,47.736,19.272,10.522,77.53,33.949,34.887,6.898,True,,True,,0
partially_shared,16,3,960,64.81262809375545,1.9554073855360925,12.221296159600579,100.2172325,133.1601244,17.3303195,31.655287899999998,0.0,0.0,7.7465,15.2893,71.106905,121.6423697,1.1265822784810127,,,0,381.119,12.509893617021277,0.146875,1.837390625,8,16,55.014,21.585,11.664,88.263,34.555,39.445,6.953,True,,True,,0
partially_shared,32,3,1920,62.64935846275322,1.8901411937802417,5.906691230563255,213.8628315,288.84844369999996,23.8628995,72.0637349,0.0,0.0,7.6925,14.2633,139.083662,269.99287119999997,1.10625,,,0,98.825,13.219997150997152,0.1828125,2.4167807291666663,16,32,58.937,22.869,12.064,93.87,35.852,47.148,7.215,True,,True,,0
contended,1,3,60,33.17035719619049,1.0,100.0,7.308606,7.8332664,5.334422,5.9999972,0.0,0.0,4.239,4.94295,8.745716,8.9276234,1.0,,,0,131.58,,0.0,,0,1,10.586,7.057,3.823,21.466,34.09,47.855,7.254,True,,,n/a: contended couples every agent by construction,0
contended,2,3,120,49.0612393710344,1.479068768565113,73.95343842825565,7.9567635,11.8535896,8.1839895,11.0704251,0.0,0.0,5.28,6.6605,11.604189,12.2544051,1.2,,,0,239.484,12.037185185185184,0.45,5.416733333333332,2,2,21.055,11.89,6.44,39.385,34.148,48.242,7.254,True,,,n/a: contended couples every agent by construction,0
contended,4,3,225,55.95824123374213,1.6869954370032758,42.174885925081895,12.49651,28.795101600000002,16.261058,22.2196216,0.0,0.0,7.054,9.2158,17.843648,24.941322800000002,1.625,0.233268,0.2375421,0,-94.774,12.38261038961039,0.6844444444444444,8.475208888888888,12,4,37.656,19.356,8.27,65.282,34.391,49.316,7.262,True,,,n/a: contended couples every agent by construction,0
contended,8,3,447,56.50334416121071,1.7034288725627575,21.29286090703447,39.272293,68.0259542,26.797918,34.8636952,0.0,0.0,7.787,12.6066,31.199559,58.439544399999996,1.6206896551724137,0.222407,0.2529242,0,209.173,12.617315384615386,1.45413870246085,18.347326621923937,28,8,51.869,23.018,9.686,84.573,34.645,52.195,7.27,True,,,n/a: contended couples every agent by construction,0
contended,16,3,960,54.56190744063084,1.644899604725906,10.280622529536911,106.3386865,157.8712096,61.040181,71.86920020000001,0.0,0.0,7.568,22.28315,82.281046,136.6870035,2.176470588235294,,,0,38.692,12.876107683982683,1.925,24.786507291666666,60,16,57.351,24.704,10.315,92.37,35.293,61.168,7.281,True,,,n/a: contended couples every agent by construction,0
