metric,unit,topology,dimension,nodes,value,p95,n,decision,topo_verified
finalization_latency_ms,ms,chain,D1,2,28.4093505,28.930052,10,allow,True
finalization_latency_ms,ms,chain,D1,4,57.0256865,59.051141,10,allow,True
finalization_latency_ms,ms,chain,D1,8,113.13242,115.6049009,10,allow,True
finalization_latency_ms,ms,chain,D5,8,112.41758,118.2912973,10,allow,True
finalization_latency_ms,ms,chain,D1,16,226.478323,229.6500484,10,allow,True
finalization_latency_ms,ms,chain,D1,32,457.74886,482.7955869,10,allow,True
finalization_latency_ms,ms,concurrent,D4,2,29.0906085,29.660765100000003,10,allow,True
finalization_latency_ms,ms,concurrent,D4,5,59.5496975,62.7586786,10,allow,True
finalization_latency_ms,ms,concurrent,D4,9,100.972351,105.2158566,10,allow,True
finalization_latency_ms,ms,concurrent,D4,17,180.449621,196.6988394,10,allow,True
finalization_latency_ms,ms,concurrent,D4,33,351.7223445,369.3634088,10,allow,True
finalization_latency_ms,ms,diamond,D6,4,54.5353125,58.2401117,10,allow,True
finalization_latency_ms,ms,diamond,D6,6,82.354115,85.08802890000001,10,allow,True
finalization_latency_ms,ms,diamond,D6,10,138.743099,141.3304099,10,allow,True
finalization_latency_ms,ms,diamond,D6,18,253.384113,286.0140024,10,allow,True
finalization_latency_ms,ms,fan-in,D2,3,40.260689,40.7244046,10,allow,True
finalization_latency_ms,ms,fan-in,D2,5,68.5957335,70.754464,10,allow,True
finalization_latency_ms,ms,fan-in,D2,9,127.092146,144.22008,10,allow,True
finalization_latency_ms,ms,fan-in,D2,17,238.7821865,255.0924384,10,allow,True
finalization_latency_ms,ms,fan-in,D2,33,474.340681,481.25540689999997,10,allow,True
finalization_latency_ms,ms,fan-out,D2,3,37.8317295,40.1393938,10,allow,True
finalization_latency_ms,ms,fan-out,D2,5,61.588176,64.059865,10,allow,True
finalization_latency_ms,ms,fan-out,D2,9,109.755623,112.179271,10,allow,True
finalization_latency_ms,ms,fan-out,D2,17,208.1267165,211.03258440000002,10,allow,True
finalization_latency_ms,ms,fan-out,D2,33,396.7956545,405.7377884,10,allow,True
finalization_latency_ms,ms,scc,D7,2,34.2904005,34.5452907,10,publish,True
finalization_latency_ms,ms,scc,D7,4,51.9907825,75.41773140000001,10,publish,True
finalization_latency_ms,ms,scc,D7,8,87.3263125,95.8299822,10,publish,True
finalization_latency_ms,ms,scc,D7,16,169.581278,199.95940230000002,10,publish,True
finalization_latency_ms,ms,scc,D7,32,337.753223,373.68014980000004,10,publish,True
finalization_wait_ms,ms,chain,D1,2,14.273714,14.9902164,,allow,True
finalization_wait_ms,ms,chain,D1,4,14.09845,14.7282394,,allow,True
finalization_wait_ms,ms,chain,D1,8,14.0063005,14.731488,,allow,True
finalization_wait_ms,ms,chain,D5,8,13.972608,14.8338528,,allow,True
finalization_wait_ms,ms,chain,D5,8,14.265098,14.882588,,middle-deny,True
finalization_wait_ms,ms,chain,D1,16,14.080833,14.8152317,,allow,True
