dimension,topology,size,nodes,decision,resolution_op,repeats,topo_verified,error_count,first_error,resolution_p50_ms,resolution_p95_ms,resolution_n,per_node_resolution_us,rollback_p50_ms,rollback_p95_ms,rollback_affected_mean,rollback_affected_max,finalization_wait_p50_ms,finalization_wait_p95_ms,graph_drain_p50_ms,pending_commits,commit_attempts_max,graph_revalidations,finalize_rejected_toctou,authz_to_finalized_p50_ms,fs_begin_finalize_p50_ms,fs_wait_finalized_p50_ms,finalize_lock_wait_p50_ms,finalize_lock_held_p50_ms,fs_prepare_resolution_p50_ms,fs_rollback_p50_ms,setup_p50_ms,open_p50_us,begin_p50_ms,run_p50_us,epochs_peak,edges_peak,versions_peak,objects_peak,scc_count_peak,cyclic_scc_count_peak,max_scc_size_peak,heap_alloc_mb_peak,metadata_bytes_per_node,edge_insertions,invocations,edges_per_invocation,scc_computations,scc_compute_us_per_sweep,affected_queries,affected_query_us_per_query,finalized_nodes_total,rollbacks,rollback_nodes_total,orchestrator_cpu_pct,shadowfs_cpu_pct,shadowproc_cpu_pct,daemons_cpu_pct,shadowfs_rss_peak_mb,wall_time_s
D1,chain,2,2,allow,commit,10,True,0,,28.4093505,28.930052,10,14204.675249999998,,,,,14.273714,14.9902164,,0,1,0,0,4.2075,2.7985,0.001,0.003,5.473,0.1145,,1082.249359,528038.6185,8.6409695,2882.477,2,1,2,2,2,0,1,32.484771728515625,17031376.0,10,30,0.3333333333333333,100,3.23089,30,3.3616666666666664,20,0,0,1.607,0.982,1.25,3.839,75.516,11.204178094863892
D1,chain,4,4,allow,commit,10,True,0,,57.0256865,59.051141,10,14256.421624999999,,,,,14.09845,14.7282394,,0,1,0,0,4.2185,2.8025,0.001,0.003,5.491,0.115,,2194.8342315,530306.6905,8.589149,2708.154,4,3,4,4,4,0,1,35.99736785888672,9436494.0,30,70,0.42857142857142855,200,3.8811,50,3.30208,40,0,0,1.505,0.708,1.195,3.408,53.535,22.593600511550903
D1,chain,8,8,allow,commit,10,True,0,,113.13242,115.6049009,10,14141.5525,,,,,14.0063005,14.731488,,0,1,0,0,4.174,2.8135,0.001,0.003,5.4465,0.119,,4368.7286575,529703.747,8.6054595,2639.6755,8,7,8,8,8,0,1,42.95580291748047,5630303.0,70,150,0.4666666666666667,400,5.350350000000001,90,3.887033333333333,80,0,0,1.512,0.689,1.223,3.424,57.566,44.97004437446594
D1,chain,16,16,allow,commit,10,True,0,,226.478323,229.6500484,10,14154.895187499998,,,,,14.080833,14.8152317,,0,1,0,0,4.2465,2.824,0.001,0.003,5.4865,0.123,,8720.910322,530027.09,8.638396,2631.1915,16,15,16,16,16,0,1,39.592872619628906,2594758.5,150,310,0.4838709677419355,800,8.588867500000001,170,5.929511764705882,160,0,0,1.49,0.734,1.257,3.481,65.344,89.91819357872009
D1,chain,32,32,allow,commit,10,True,0,,457.74886,482.7955869,10,14304.651875,,,,,14.0698105,14.8717369,,0,1,0,0,4.2485,2.844,0.001,0.003,5.498,0.126,,17448.297048,529962.043,8.755423,2610.906,32,31,32,32,32,0,1,53.80725860595703,1763156.25,310,630,0.49206349206349204,1600,12.597423124999999,330,9.16819696969697,320,0,0,1.483,0.706,1.367,3.556,70.109,180.00158977508545
D1,chain,2,2,root-deny,cascade-rollback,10,True,0,,11.4094275,11.7287071,10,5704.71375,0.0,0.0,2.0,2,,,,0,,0,0,,,,,,,1.6,1092.476754,532383.1755,8.7401335,2910.247,2,1,2,2,2,0,1,57.402122497558594,30095244.0,10,30,0.3333333333333333,0,,30,3.0031666666666665,0,20,20,1.696,0.714,1.25,3.66,70.488,11.20391035079956
D1,chain,4,4,root-deny,cascade-rollback,10,True,0,,14.07429,14.5679019,10,3518.5724999999998,0.0,0.0,4.0,4,,,,0,,0,0,,,,,,,2.0135,2183.0784365,531589.8855,8.7417755,2694.857,4,3,4,4,4,0,1,34.39984130859375,9017712.0,30,70,0.42857142857142855,0,,50,3.58002,0,40,40,1.609,0.671,1.296,3.576,71.281,22.371795177459717
D1,chain,8,8,root-deny,cascade-rollback,10,True,0,,19.120982,21.692139899999997,10,2390.12275,0.0,0.0,8.0,8,,,,0,,0,0,,,,,,,2.6445,4364.080587,529359.715,8.732418,2656.549,8,7,8,8,8,0,1,38.03204345703125,4984936.0,70,150,0.4666666666666667,0,,90,3.8506222222222224,0,80,80,1.661,0.561,1.302,3.524,71.398,44.53979015350342
D1,chain,16,16,root-deny,cascade-rollback,10,True,0,,28.5529035,28.753588699999998,10,1784.55646875,0.0,0.0,16.0,16,,,,0,,0,0,,,,,,,3.8495,8732.615589,530120.128,8.7425845,2626.8675,16,15,16,16,16,0,1,36.59089660644531,2398021.0,150,310,0.4838709677419355,0,,170,5.890088235294118,0,160,160,1.616,0.572,1.335,3.523,71.402,89.12021136283875
D1,chain,32,32,root-deny,cascade-rollback,10,True,0,,48.0165895,48.891686,10,1500.518421875,0.0,0.0,32.0,32,,,,0,,0,0,,,,,,,6.431,17446.5544855,530860.5215,8.7513865,2638.2525,32,31,32,32,32,0,1,42.01518249511719,1376753.5,310,630,0.49206349206349204,0,,330,8.976133333333333,0,320,320,1.621,0.572,1.408,3.601,63.027,178.2782645225525
